Loan ID,Customer ID,Principal Amount,Status,Outstanding Balance,Total Paid,Created At
1,1,672200.0,cleared,0.0,692366.0,2025-08-23 15:22:00
2,1,405900.0,active,378840.0,75768.0,2025-06-03 08:54:00
3,1,651200.0,disbursed,700040.0,0.0,2025-08-31 11:50:00
4,2,778400.0,active,282818.66,565637.34,2026-03-17 15:25:00
5,3,796300.0,cleared,0.0,991393.5,2025-12-31 16:10:00
6,4,780900.0,cleared,0.0,1015170.0,2025-05-09 12:11:00
7,4,619000.0,disbursed,727325.0,0.0,2025-07-12 15:38:00
8,5,1970200.0,defaulted,1162417.99,1162418.01,2025-09-14 12:02:00
9,6,1349900.0,disbursed,1451142.5,0.0,2025-12-28 10:25:00
10,7,1573500.0,active,689717.52,1379434.98,2025-06-17 08:25:00
11,8,1596400.0,disbursed,1692184.0,0.0,2026-04-06 08:16:00
12,8,1581800.0,cleared,0.0,2024704.0,2025-11-04 12:09:00
13,9,544800.0,reviewing,740928.0,0.0,2025-07-23 14:59:00
14,10,1419600.0,active,553644.0,1291836.0,2026-05-04 17:00:00
15,11,1776200.0,disbursed,1998225.0,0.0,2025-05-24 13:04:00
16,12,423200.0,approved,444360.0,0.0,2025-06-08 16:15:00
17,13,425600.0,active,391552.0,97888.0,2025-05-18 11:31:00
18,13,328800.0,disbursed,378120.0,0.0,2026-02-17 17:22:00
19,14,252200.0,active,26060.63,286667.37,2025-10-15 17:21:00
20,14,150000.0,active,107500.0,53750.0,2025-05-17 15:01:00
21,14,980100.0,active,220522.5,882090.0,2026-03-07 08:21:00
22,15,4300.0,screening,4515.0,0.0,2026-01-13 16:13:00
23,16,378400.0,active,285902.24,228721.76,2025-11-29 13:40:00
24,17,101600.0,cleared,0.0,113792.0,2025-06-22 12:44:00
25,17,189100.0,cleared,0.0,245830.0,2025-06-16 11:27:00
26,17,1590800.0,pending,1829420.0,0.0,2025-06-26 14:43:00
27,18,869400.0,disbursed,1104138.0,0.0,2025-05-17 16:48:00
28,19,7400.0,active,5673.33,2836.67,2026-01-10 15:08:00
29,20,54400.0,disbursed,62560.0,0.0,2025-09-15 11:56:00
30,20,277900.0,defaulted,243625.66,121812.84,2025-09-10 09:57:00
31,20,1999400.0,screening,2209337.0,0.0,2026-02-02 09:34:00
32,21,336000.0,written_off,381920.0,34720.0,2025-12-07 15:53:00
33,22,355200.0,written_off,186480.0,186480.0,2026-04-02 15:25:00
34,23,1536700.0,defaulted,845185.0,845185.0,2026-04-16 09:04:00
35,24,51500.0,active,28325.0,28325.0,2026-03-31 09:37:00
36,24,836500.0,disbursed,1087450.0,0.0,2025-07-29 12:40:00
37,24,689300.0,active,534207.5,320524.5,2025-06-17 14:03:00
38,25,1625700.0,disbursed,1885812.0,0.0,2025-07-26 17:41:00
39,26,305700.0,cleared,0.0,343912.5,2025-11-13 10:02:00
40,26,204600.0,pending,220968.0,0.0,2025-07-26 11:50:00
41,27,419700.0,cleared,0.0,430192.5,2025-10-31 16:04:00
42,28,1268100.0,active,1096000.72,438400.28,2025-07-14 13:38:00
43,29,1824300.0,defaulted,1942879.5,647626.5,2025-09-01 11:35:00
44,30,1555200.0,active,816480.0,816480.0,2025-11-02 10:18:00
45,31,1519800.0,active,1456475.0,291295.0,2026-02-13 17:14:00
46,32,1236000.0,cleared,0.0,1409040.0,2026-04-13 12:26:00
47,33,844300.0,disbursed,1097590.0,0.0,2025-11-24 11:57:00
48,34,423600.0,disbursed,440544.0,0.0,2026-03-16 15:43:00
49,35,702100.0,defaulted,473917.5,473917.5,2025-06-30 09:50:00
